id,severity,confidence,module,file:line,evidence,rule,impact,reproduction,recommended_fix,acceptance_criteria,tests_required,status
AUDIT-S1-001,S1,confirmed,risk/cli,src/cli/tests/risk.rs:445,"cargo test --all-targets failed in cli::tests::risk::run_risk_rule_set_industry_blocklist_dispatches_to_handler under default parallel test execution; the same test passed when run alone or with --test-threads=1","Phase 1 cargo test gate; risk CLI tests must be isolated and deterministic","The failing assertion was a test isolation bug, not a production persistence defect: src/cli/tests/risk.rs mutated global QUANTIX_RISK_PATH/QUANTIX_TRADE_PATH while other test modules in the same binary also mutated process env, so the risk CLI test could read the wrong path under parallel execution and block the gate","cargo test --all-targets; cargo test --lib -- --test-threads=1; cargo test --lib cli::tests::risk::run_risk_rule_set_industry_blocklist_dispatches_to_handler","Serialize env-mutating tests behind a shared process-wide lock or move these tests to a non-parallel harness; preserve and restore QUANTIX_RISK_PATH/QUANTIX_TRADE_PATH around the test body","The risk CLI test passes both alone and in the default suite, and crate-local env-mutating unit tests now share a process-wide lock","cargo test --lib; cargo test --lib -- --test-threads=1; cargo test --lib cli::tests::risk::run_risk_rule_set_industry_blocklist_dispatches_to_handler",fixed
AUDIT-S1-002,S1,confirmed,factor/tests,tests/factor_pipeline_test.rs:265,"After AUDIT-S1-001 was fixed, cargo test --all-targets failed in catalog_lists_and_computes_ts_rank_close_5 with expected null_count=12 but actual null_count=17","Phase 1 cargo test gate; factor pipeline tests must encode missing-value semantics correctly","The test fixture contains three symbols over ten days and one explicit missing close for 600000.SH on day 5. A five-day rolling rank with KeepNull produces 12 warmup nulls plus five null windows affected by that missing close, so 17 is the correct null count","cargo test --all-targets; cargo test --test factor_pipeline_test catalog_lists_and_computes_ts_rank_close_5 -- --nocapture","Correct the assertion to reflect rolling-window null propagation and document the expected count","The factor pipeline test passes alone and cargo test --all-targets passes","cargo test --test factor_pipeline_test; cargo test --all-targets",fixed
AUDIT-S2-001,S2,confirmed,ai,src/ai/prompt.rs:143,"assert!(!registry.list().is_empty() || true) is always true and clippy reports a boolean logic bug","Phase 1 cargo clippy gate; test assertions must be meaningful","AI prompt registry test does not validate behavior and blocks clippy","cargo clippy --all-targets --all-features","Replace tautological assertion with a real invariant, such as expected registry initialization behavior or explicit empty/non-empty policy","clippy no longer reports overly_complex_bool_expr for this test and the test still documents expected behavior","cargo clippy --all-targets --all-features; cargo test --lib ai::prompt::tests::test_prompt_registry",fixed
AUDIT-S2-002,S2,confirmed,io,src/io/exporter.rs:386,"assert!(result.duration_ms >= 0) is always true for the unsigned duration type; clippy reports absurd_extreme_comparisons","Phase 1 cargo clippy gate; tests should avoid vacuous assertions","Exporter test contains a vacuous assertion and blocks clippy","cargo clippy --all-targets --all-features","Remove the assertion or replace it with a meaningful property such as record_count, file existence, or monotonic metadata if available","clippy no longer reports absurd_extreme_comparisons at this line and exporter tests still pass","cargo clippy --all-targets --all-features; cargo test --lib io::exporter::tests::test_export_result",fixed
AUDIT-S2-003,S2,confirmed,monitoring,src/monitoring/health.rs:232,"assert!(system.uptime_seconds >= 0) is always true for the unsigned uptime type; clippy reports absurd_extreme_comparisons","Phase 1 cargo clippy gate; tests should avoid vacuous assertions","Health registry test contains a vacuous assertion and blocks clippy","cargo clippy --all-targets --all-features","Replace with a meaningful uptime assertion, for example equality/upper-bound based on construction semantics, or remove if not part of the contract","clippy no longer reports absurd_extreme_comparisons at this line and health tests still pass","cargo clippy --all-targets --all-features; cargo test --lib monitoring::health::tests::test_health_registry",fixed
AUDIT-S2-004,S2,confirmed,strategy,src/strategy/mean_reversion.rs:209,"assert!(!strategy.position || strategy.position) is a tautology after running mean reversion bars; clippy reports overly_complex_bool_expr","Phase 1 cargo clippy gate; strategy tests should assert expected behavior","Mean reversion basic test only verifies non-panic behavior via a tautology and blocks clippy","cargo clippy --all-targets --all-features","Replace the tautology with an explicit expected signal/position/state invariant for the scenario, or remove the assertion if no state contract exists","clippy no longer reports overly_complex_bool_expr and the strategy test has a meaningful assertion","cargo clippy --all-targets --all-features; cargo test --lib strategy::mean_reversion::tests::test_mean_reversion_strategy_basic",fixed
AUDIT-S2-005,S2,confirmed,strategy,src/strategy/momentum.rs:215,"assert!(!strategy.position || strategy.position) is a tautology after running momentum bars; clippy reports overly_complex_bool_expr","Phase 1 cargo clippy gate; strategy tests should assert expected behavior","Momentum strategy test only verifies non-panic behavior via a tautology and blocks clippy","cargo clippy --all-targets --all-features","Replace the tautology with an explicit expected signal/position/state invariant for the scenario, or remove the assertion if no state contract exists","clippy no longer reports overly_complex_bool_expr and the strategy test has a meaningful assertion","cargo clippy --all-targets --all-features; cargo test --lib strategy::momentum::tests::test_momentum_strategy",fixed
AUDIT-S2-006,S2,confirmed,analysis/runtime,src/analysis/polars_adapter.rs:20,"init_polars mutates the process environment with unsafe std::env::set_var(POLARS_MAX_THREADS, ...) and is called from async CLI run_init after the Tokio runtime is active","Phase 2 unsafe review; Rust 2024 marks process environment mutation unsafe because concurrent environment access can be unsound","Global environment mutation during runtime initialization can race with other threads or libraries reading environment variables, and the unsafe block has no documented safety precondition","cargo clippy --all-targets --all-features; manual trace: GitNexus init_polars callers include src/cli/handlers/app_shell.rs:99","Move Polars thread configuration to process startup before async runtime/thread creation, use a Polars-supported configuration API if available, or document and enforce a single-threaded pre-runtime safety boundary","No production unsafe env mutation occurs from async handlers, or the unsafe block has an enforced and reviewed safety invariant; related tests cover initialization behavior","cargo test --lib analysis::polars_adapter::tests::test_init_polars; cargo clippy --all-targets --all-features",fixed
AUDIT-S3-001,S3,confirmed,io/batch,src/io/batch.rs:269,"BatchProcessor::process_in_batches now requires each callback to return Result<()> and propagates the first batch error","Phase 2 discarded-result review; public batch API should not silently drop callback failure information","A caller that passes a fallible callback now receives Err immediately instead of Ok(progress) when a batch fails; current GitNexus callers are bench/test only, so observed production blast radius is low","Manual review; GitNexus process_in_batches incoming calls are bench_batch_processing and test_batch_processor","Constrain process_fn to return Result or an explicit per-batch outcome and propagate/update errors, or change the API name/signature to make fire-and-forget semantics explicit","A failing batch callback is reflected in the returned Result or BatchProgress error count, and tests cover callback failure behavior","cargo test --lib io::batch::tests::test_batch_processor; cargo test --lib io::batch::tests::process_in_batches_returns_callback_error; cargo test --lib io::batch","fixed
AUDIT-S3-002,S3,confirmed,tasks/scheduler,src/tasks/scheduler.rs:90,"TaskScheduler::add_task now propagates scheduler.remove(job_id).await failure when replacing an existing scheduled task before scheduling the new task","Phase 2 discarded-result review; scheduler mutation failures should not be silently ignored","If old job removal fails, add_task now returns Err before replacing the in-memory task or scheduling a new job; current GitNexus callers are tests only but the API is public scheduler infrastructure","Manual review; GitNexus add_task incoming calls currently only include scheduler tests; regression test uses a test-only failure injection because tokio-cron-scheduler remove returns Ok for unknown job IDs","Propagate remove failure and abort replacement before scheduling the new job","Replacing a running task cannot silently leave the old job active; failure is surfaced to the caller and the previous task entry is preserved","cargo test --lib tasks::scheduler::tests::add_task_returns_error_when_replacement_job_removal_fails; cargo test --lib tasks::scheduler; cargo fmt --check",fixed
AUDIT-S3-003,S3,confirmed,sources/websocket,src/sources/websocket.rs:240,"WebSocketClient message loop now handles tx.send(quote) failure when the realtime quote receiver has been dropped","Phase 2 discarded-result review; streaming data delivery failures should be observable","When the consumer side is gone, quote dispatch now clears the stale handler, returns an error, logs the disconnected receiver, and exits the current WebSocket stream loop instead of silently dropping quotes","Manual review of WebSocketClient::connect message loop; GitNexus impact for connect and WebSocketClient is LOW with no indexed upstream processes","Handle send failure by logging and clearing the handler, breaking/reconnecting, or transitioning to a disconnected/error state according to the intended lifecycle","Dropped receiver is observable and the stale sender is cleared; targeted async test covers closed receiver behavior","cargo test --lib sources::websocket::tests::dispatch_quote_returns_error_when_receiver_is_dropped; cargo test --lib sources::websocket; cargo fmt --check",fixed
AUDIT-S2-007,S2,confirmed,core/trading-calendar,src/core/trading_calendar.rs:204,"TradingCalendar uses host-local time for A-share session decisions and unwraps local datetime construction","Phase 2 boundary unwrap review","Host timezone can shift trading-session classification; local datetime unwrap can panic on timezone gaps or ambiguity","Manual review; caller search shows collect scheduler uses get_current_status at src/tasks/collect_scheduler.rs:153","Use an explicit China market timezone and avoid unwrap on local datetime construction","Trading status is host-timezone independent and production calendar paths do not unwrap local datetime construction","Add trading-calendar timezone/session tests; cargo test --lib core::trading_calendar",fixed
AUDIT-S3-004,S3,confirmed,execution/qmt-bridge,src/execution/qmt_bridge.rs:67,"QmtBridgePreviewAdapter previously discarded response.broker_payload from QMT preview responses","Phase 2 discarded-result review; broker preview metadata should remain auditable","QMT preview output now preserves broker-side payload details for audit and operator diagnosis","Manual review; tests/qmt_bridge_preview_test.rs covers broker_payload preservation and the CLI preview output now includes it","Carry broker_payload into response metadata or include it in CLI preview output with documented redaction policy","Preview response preserves or explicitly redacts broker payload and tests cover the chosen behavior","cargo test --test qmt_bridge_preview_test; cargo test --test qmt_bridge_preview_test qmt_bridge_preview_adapter_uses_frozen_snapshot_payload",fixed
AUDIT-S3-005,S3,confirmed,execution/qmt-live,src/execution/qmt_live_adapter.rs:90,"QmtLiveExecutionAdapter::with_polling previously panicked on invalid polling configuration via expect","Phase 2 boundary expect review","Public configurable constructor now returns BridgeError for zero poll interval or timeout instead of panicking","Manual review; QmtTaskSubmitService::new validates poll_interval_ms and poll_timeout_ms at src/execution/qmt_task_submit_service.rs:51; regression tests cover both invalid values","Return Result<Self> from configurable constructors or clamp/validate polling values before construction","Invalid polling configuration returns a typed error and no production constructor panics","cargo test --test qmt_live_adapter_test qmt_live_adapter_with_polling_rejects_zero_poll_interval; cargo test --test qmt_live_adapter_test",fixed
AUDIT-S3-006,S3,confirmed,io/batch,src/io/batch.rs:124,"BatchProcessor::new now rejects zero batch_size and zero max_concurrent_tasks with typed QuantixError values","Phase 2 public API boundary review","batch_size=0 can no longer panic in div_ceil/chunks paths through a constructed BatchProcessor; max_concurrent_tasks=0 can no longer create a zero-permit batch_import semaphore through the public constructor","Manual review; GitNexus reports no current incoming calls for batch_import, so observed blast radius is low but API risk remains; regression tests cover both invalid config fields","Validate BatchConfig in BatchProcessor::new or expose a fallible constructor that rejects zero batch size and zero concurrency","Invalid batch config is rejected with a typed error and tests cover zero batch_size and zero max_concurrent_tasks","cargo test --lib io::batch; cargo test --benches --no-run",fixed
AUDIT-S2-008,S2,confirmed,cli/data,src/cli/handlers/data_handler.rs:378,"data export defaults to parquet but parquet branch does not write a file and still prints success","Phase 2 TODO/user-facing command review","Default data export could report success without producing the requested parquet output, misleading operators and downstream automation","Manual review; src/cli/commands/data.rs:46 sets default format=parquet while data_handler.rs previously had a TODO-only parquet branch","Implemented parquet export through DataExporter/ExportFormat::Parquet and shared the CSV/parquet file-writing path behind export_klines_to_file","Parquet export creates a non-empty parquet file and existing CSV/data CLI parser tests continue to pass","cargo test --lib cli::handlers::data_handler; cargo test --lib cli::tests::data; cargo test --lib io::exporter",fixed
AUDIT-S3-007,S3,confirmed,cli/news,src/cli/handlers/news.rs:44,"news search now builds configured providers and calls NewsAggregator::search instead of returning placeholder success","Phase 2 TODO/user-facing command review","news search/code no longer report successful placeholder output; they either execute the configured Tavily/SerpAPI/Bocha provider path or return a typed configuration error when no provider is configured","Manual review; NewsAggregator::search exists in src/news/aggregator.rs and run_news_search now delegates to it through a provider-from-env builder","Wire CLI handler to NewsAggregator providers or return an explicit Unsupported error until implemented","News search either returns real provider results or exits with unsupported status; tests cover configured-key placeholder path","cargo test --lib cli::handlers::news::tests; cargo test --all-targets; cargo clippy --all-targets --all-features",fixed
AUDIT-S3-008,S3,confirmed,market/sentiment,src/market/sentiment/aggregator.rs:77,"SentimentAggregator no longer hardcodes trend to Stable; no-provider output is explicitly unavailable and provider history can derive trend","Phase 2 TODO/user-facing command review","Sentiment output no longer reports a neutral/stable trend when no trend is calculated; current CLI sentiment handlers still construct an empty provider list, so the user-facing trend field now reflects unavailable data instead of a false direction","Manual review; regression tests cover no-provider aggregation, provider-history trend derivation, and CLI trend formatting for unavailable vs stable","Compute trend from historical/provider data or omit/mark trend as unavailable until calculated; wire CLI sentiment handlers to configured providers","Sentiment trend is either data-derived or explicitly unavailable; tests cover no-provider and provider-backed command behavior","cargo test --lib market::sentiment::aggregator::tests; cargo test --lib sentiment::tests; cargo test --all-targets; cargo clippy --all-targets --all-features",fixed
AUDIT-S3-009,S3,confirmed,cli/tui,src/cli/handlers/app_shell.rs:244,"menu --tui is advertised as enabling a TUI interface but run_tui_menu only prints a development-in-progress message and returns success","Phase 2 TODO/user-facing command review","Automation or operators can receive a zero exit status for an unimplemented TUI path; the command contract is weaker than the CLI help text implies","Manual review; src/cli/commands/mod.rs:67 documents interactive menu and --tui, and Commands::Menu dispatches tui=true to run_tui_menu","Implement the TUI path or return an explicit unsupported/not-implemented error until it exists","menu --tui either launches an interactive TUI or exits non-zero with a clear unsupported status; tests cover the current placeholder path","Add CLI handler test for menu --tui behavior once command dispatch is testable",open
AUDIT-S2-010,S2,confirmed,tooling/fmt,src/factor/scoring.rs:1,cargo fmt --check exits 1 and reports import wrapping diff in src/factor/scoring.rs:1,"Phase 1 gate baseline; formatting gate must be green for release confidence","Repository cannot claim fmt gate closure; generated or in-progress factor work needs formatting",cargo fmt --check,Apply rustfmt to src/factor/scoring.rs without unrelated changes,cargo fmt --check exits 0,cargo fmt --check,deferred
AUDIT-S2-011,S2,confirmed,factor,tests/factor_pipeline_test.rs:454,cargo test --all-targets exits 101 because factor_score_cli_writes_csv_output assertion does not find expected CSV row,"Phase 1 gate baseline; factor score CSV output is user-facing CLI output","Factor score CLI CSV output contract is not verified in current tree; all-target test gate cannot close",cargo test --test factor_pipeline_test factor_score_cli_writes_csv_output,Align factor score ordering/output or update the test expectation with evidence,Targeted test and cargo test --all-targets pass,"cargo test --test factor_pipeline_test factor_score_cli_writes_csv_output; cargo test --all-targets",deferred
AUDIT-S3-010,S3,needs-repro,build,Cargo.toml:1,cargo build --release started but release linking exceeded the audit tool window and was terminated after extended monitoring,"Phase 1 full release gate; methodology permits release build to be delayed when environment cost is high","Release build closure remains unknown; debug tests cannot substitute for release build readiness",cargo build --release in a long-running terminal outside the MCP command window,Re-run release build with an explicit time budget and capture exit status,Release build exits 0 or a concrete compiler/linker error is captured,cargo build --release,needs-repro
